Age Group,Gender,Tenure,Num Of Products,Is Active Member,Stay,Employees
2,1,3,1,0,6,12
2,1,4,1,0,6,11
2,1,4,1,1,3,14
2,0,7,1,0,4,11
2,1,7,1,0,3,15
2,0,4,2,0,5,13
2,1,8,2,0,2,13
3,0,0,1,0,8,15
3,1,0,1,0,6,14
3,1,0,1,1,4,14
3,0,1,1,0,14,26
3,1,1,1,0,9,24
3,0,1,1,1,5,18
3,1,1,1,1,13,23
3,0,2,1,0,10,19
3,1,2,1,0,5,14
3,0,2,1,1,11,24
3,1,2,1,1,7,28
3,0,3,1,0,4,17
3,1,3,1,0,12,24
3,0,3,1,1,11,25
3,1,3,1,1,6,23
3,0,4,1,0,12,16
3,1,4,1,0,6,19
3,0,4,1,1,3,13
3,1,4,1,1,6,19
3,0,5,1,0,16,26
3,1,5,1,0,7,19
3,0,5,1,1,6,16
3,1,5,1,1,8,23
3,0,6,1,0,18,30
3,1,6,1,0,12,21
3,0,6,1,1,10,21
3,1,6,1,1,8,18
3,0,7,1,0,8,14
3,1,7,1,0,10,24
3,0,7,1,1,10,26
3,1,7,1,1,3,19
3,0,8,1,0,13,21
3,1,8,1,0,12,24
3,1,8,1,1,4,14
3,0,9,1,0,13,26
3,1,9,1,0,12,36
3,0,9,1,1,7,15
3,1,9,1,1,6,20
3,0,10,1,0,8,16
3,1,10,1,0,6,13
3,1,10,1,1,2,11
3,0,1,2,0,2,11
3,1,1,2,0,0,17
3,1,1,2,1,3,25
3,0,2,2,0,8,17
3,1,2,2,0,3,25
3,0,2,2,1,4,17
3,1,2,2,1,2,33
3,0,3,2,0,6,18
3,0,3,2,1,2,20
3,1,3,2,1,1,12
3,0,4,2,0,5,12
3,1,4,2,0,5,19
3,0,4,2,1,3,12
3,1,4,2,1,3,20
3,0,5,2,0,2,11
3,1,5,2,0,3,14
3,0,5,2,1,0,13
3,1,5,2,1,1,14
3,0,6,2,0,4,19
3,1,6,2,0,5,16
3,0,6,2,1,4,12
3,1,6,2,1,3,22
3,1,7,2,0,6,22
3,0,7,2,1,2,15
3,1,7,2,1,2,21
3,0,8,2,0,6,15
3,1,8,2,0,5,17
3,0,8,2,1,5,14
3,1,8,2,1,2,21
3,0,9,2,0,4,17
3,1,9,2,0,3,16
3,0,9,2,1,2,12
3,1,9,2,1,1,17
3,0,10,2,1,5,11
4,1,0,1,0,9,11
4,0,0,1,1,13,15
4,1,0,1,1,5,12
4,0,1,1,0,29,30
4,1,1,1,0,20,28
4,0,1,1,1,12,15
4,1,1,1,1,6,13
4,0,2,1,0,25,28
4,1,2,1,0,21,26
4,0,2,1,1,9,17
4,1,2,1,1,14,19
4,0,3,1,0,19,23
4,1,3,1,0,15,21
4,0,3,1,1,13,22
4,1,3,1,1,8,14
4,0,4,1,0,20,21
4,1,4,1,0,22,25
4,0,4,1,1,9,14
4,1,4,1,1,11,20
4,0,5,1,0,20,23
4,1,5,1,0,17,20
4,0,5,1,1,11,15
4,1,5,1,1,7,16
4,0,6,1,0,19,23
4,1,6,1,0,22,27
4,0,6,1,1,10,14
4,1,6,1,1,10,13
4,0,7,1,0,18,24
4,1,7,1,0,10,15
4,0,7,1,1,7,11
4,1,7,1,1,12,24
4,0,8,1,0,18,24
4,1,8,1,0,21,32
4,0,8,1,1,7,12
4,1,8,1,1,11,16
4,0,9,1,0,32,36
4,1,9,1,0,23,25
4,0,9,1,1,8,11
4,1,9,1,1,7,15
4,0,10,1,0,14,16
4,0,10,1,1,9,13
4,1,1,2,0,6,11
4,0,1,2,1,5,13
4,1,1,2,1,4,11
4,1,2,2,0,5,11
4,0,2,2,1,3,11
4,1,2,2,1,3,12
4,0,3,2,0,6,11
4,1,3,2,0,4,11
4,0,4,2,0,7,12
4,1,4,2,1,2,12
4,1,5,2,0,4,12
4,1,6,2,0,4,12
4,0,6,2,1,8,14
4,0,7,2,0,8,15
4,0,8,2,0,5,12
4,1,9,2,0,6,15
5,0,1,1,0,18,18
5,1,1,1,0,12,13
5,0,1,1,1,13,17
5,1,1,1,1,8,14
5,0,2,1,0,13,13
5,1,2,1,0,14,14
5,1,3,1,0,15,16
5,0,4,1,0,14,14
5,1,4,1,0,13,14
5,0,4,1,1,12,13
5,1,4,1,1,9,11
5,0,5,1,0,12,13
5,1,5,1,0,11,12
5,1,5,1,1,10,12
5,1,6,1,0,11,12
5,0,7,1,0,12,13
5,0,8,1,0,11,12
5,1,8,1,1,10,12
5,1,9,1,0,16,16
